Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6.0288573100491165,6.0288573100491165,6.0288573100491165,6.0288573100491165,6.0288573100491165,6.0288573100491165,6.0288573100491165,6.0288573100491165,6.0288573100491165,6.0288573100491165,6.0288573100491165,6.0288573100491165,6.0288573100491165,6.0288573100491165,6.0288573100491165,6.0288573100491165,6.0288573100491165,6.0288573100491165,6.0288573100491165,6.0288573100491165,6.0288573100491165,8.071060297620791,8.071060297620791,8.071060297620791,8.071060297620791,8.071060297620791,8.071060297620791,8.071060297620791,8.071060297620791,8.90160251046258,8.90160251046258,8.90160251046258,8.90160251046258,8.90160251046258,8.90160251046258,8.90160251046258,10.285421331752593,9.070787666322506,9.070787666322506,10.88523622464866
2,12.214139607013124,12.214139607013124,12.214139607013124,12.214139607013124,12.337018279407108,12.337018279407108,13.125170773495105,13.125170773495105,13.125170773495105,13.125170773495105,13.125170773495105,13.125170773495105,13.287486255568096,13.287486255568096,13.287486255568096,13.287486255568096,13.287486255568096,13.287486255568096,13.287486255568096,13.287486255568096,13.287486255568096,13.287486255568096,13.287486255568096,13.287486255568096,13.287486255568096,13.287486255568096,13.287486255568096,13.287486255568096,13.287486255568096,13.287486255568096,13.287486255568096,13.287486255568096,13.287486255568096,16.78839877675053,16.78839877675053,17.673370000673614,17.673370000673614,17.673370000673614,17.673370000673614,17.673370000673614
3,19.088031883641612,19.088031883641612,19.088031883641612,19.088031883641612,19.088031883641612,19.088031883641612,19.088031883641612,19.088031883641612,19.088031883641612,19.088031883641612,19.088031883641612,19.891081044530562,19.891081044530562,19.891081044530562,19.891081044530562,19.891081044530562,19.891081044530562,19.891081044530562,19.891081044530562,19.891081044530562,19.891081044530562,19.891081044530562,19.891081044530562,19.891081044530562,19.891081044530562,19.891081044530562,19.891081044530562,19.891081044530562,19.891081044530562,22.193625291774232,23.115134082561767,23.115134082561767,23.36949309787658,25.050892993788118,25.050892993788118,25.050892993788118,25.050892993788118,25.050892993788118,25.050892993788118,25.050892993788118
4,26.24346521581742,26.24346521581742,26.24346521581742,26.24346521581742,26.24346521581742,26.24346521581742,26.24346521581742,26.24346521581742,26.24346521581742,26.24346521581742,26.24346521581742,26.98739450797655,27.450667807571254,27.450667807571254,27.450667807571254,27.450667807571254,27.450667807571254,27.450667807571254,27.450667807571254,27.450667807571254,27.450667807571254,27.450667807571254,27.450667807571254,27.450667807571254,27.450667807571254,27.450667807571254,27.450667807571254,27.450667807571254,29.429606850809677,30.414676709810664,33.35198991682664,33.35198991682664,33.35198991682664,33.35198991682664,33.39889854799323,33.39889854799323,33.39889854799323,33.39889854799323,33.39889854799323,33.39889854799323
5,32.80261243697858,32.80261243697858,32.80261243697858,32.80261243697858,32.80261243697858,32.80261243697858,32.80261243697858,32.80261243697858,32.80261243697858,32.80261243697858,32.80261243697858,33.81542297757042,33.81542297757042,34.90849647356178,34.90849647356178,34.90849647356178,34.90849647356178,34.90849647356178,34.90849647356178,34.90849647356178,35.395576339044624,35.395576339044624,35.395576339044624,36.11682996880103,36.11682996880103,37.500667148430466,37.500667148430466,37.500667148430466,37.500667148430466,39.3208157460168,40.180178147569585,40.180178147569585,40.180178147569585,40.180178147569585,40.180178147569585,40.180178147569585,40.180178147569585,40.180178147569585,40.180178147569585,40.180178147569585
6,39.36175965813973,39.36175965813973,39.36175965813973,39.36175965813973,39.36175965813973,39.36175965813973,39.36175965813973,39.36175965813973,39.36175965813973,39.36175965813973,39.36175965813973,40.669346005308675,40.669346005308675,40.669346005308675,40.669346005308675,40.669346005308675,40.669346005308675,40.669346005308675,40.669346005308675,41.42443364909374,41.42443364909374,41.811088432750125,41.811088432750125,41.811088432750125,41.811088432750125,41.811088432750125,41.811088432750125,41.811088432750125,44.104261937392934,45.92090687930089,46.121509717069785,46.121509717069785,46.121509717069785,46.121509717069785,46.121509717069785,46.121509717069785,46.121509717069785,46.121509717069785,46.121509717069785,46.121509717069785
7,43.668245568745085,43.668245568745085,43.668245568745085,43.668245568745085,43.668245568745085,43.668245568745085,43.668245568745085,43.668245568745085,43.668245568745085,43.668245568745085,45.32462076828624,47.125585625779706,47.125585625779706,47.125585625779706,47.125585625779706,47.125585625779706,47.97473147935044,47.97473147935044,47.97473147935044,47.97473147935044,47.97473147935044,47.97473147935044,47.97473147935044,47.97473147935044,47.97473147935044,47.97473147935044,47.97473147935044,47.97473147935044,51.28748187843274,53.49224558731504,53.49224558731504,53.49224558731504,53.58182524625074,53.58182524625074,53.58182524625074,53.58182524625074,53.58182524625074,53.58182524625074,53.58182524625074,53.58182524625074
8,50.93096431016056,50.93096431016056,51.325160497264015,51.325160497264015,51.325160497264015,51.325160497264015,51.325160497264015,51.325160497264015,51.325160497264015,51.325160497264015,51.88376798944739,53.58182524625074,53.58182524625074,53.58182524625074,53.58182524625074,53.58182524625074,54.00358878939956,54.00358878939956,54.00358878939956,54.00358878939956,54.00358878939956,54.78385889174526,54.78385889174526,54.78385889174526,54.78385889174526,56.46384494645581,56.46384494645581,56.90878856294398,57.89107666739521,60.03244609944868,60.03244609944868,60.03244609944868,60.03244609944868,60.03244609944868,60.03244609944868,60.03244609944868,60.03244609944868,60.03244609944868,60.03244609944868,60.03244609944868
9,57.46741117743449,57.46741117743449,58.88494997133114,58.88494997133114,58.982075425782945,58.982075425782945,58.982075425782945,58.982075425782945,58.982075425782945,58.982075425782945,60.10544860702817,60.10544860702817,60.10544860702817,60.10544860702817,60.10544860702817,60.10544860702817,60.10544860702817,60.10544860702817,60.10544860702817,60.10544860702817,61.592986304140084,61.592986304140084,61.592986304140084,61.592986304140084,61.592986304140084,64.00385804470842,64.00385804470842,64.00385804470842,65.22840421068685,66.20730842465679,66.20730842465679,66.20730842465679,66.20730842465679,66.20730842465679,66.20730842465679,66.20730842465679,66.20730842465679,66.20730842465679,66.20730842465679,66.20730842465679
