Time,0,1,2,3,4
0,5.0,3.3333333333333335,3.3333333333333335,5.0,20.0
10,5.0,10.0,5.0,3.3333333333333335,5.0
20,5.0,20.0,5.0,3.3333333333333335,3.3333333333333335
20,5.0,20.0,5.0,3.3333333333333335,3.3333333333333335
30,5.0,20.0,3.3333333333333335,2.0,20.0
30,5.0,20.0,3.3333333333333335,2.0,20.0
40,5.0,10.0,2.5,5.0,10.0
40,5.0,10.0,2.5,5.0,10.0
50,10.0,20.0,2.0,5.0,5.0
50,10.0,20.0,2.0,5.0,5.0
50,10.0,20.0,2.0,5.0,5.0
60,10.0,20.0,2.5,5.0,3.3333333333333335
70,10.0,20.0,1.25,20.0,10.0
80,10.0,20.0,1.1111111111111112,20.0,20.0
80,10.0,20.0,1.1111111111111112,20.0,20.0
100,20.0,20.0,1.0,20.0,20.0
100,20.0,20.0,1.0,20.0,20.0
100,20.0,20.0,1.0,20.0,20.0
100,20.0,20.0,1.0,20.0,20.0
110,20.0,20.0,1.0,20.0,20.0
110,20.0,20.0,1.0,20.0,20.0
120,20.0,20.0,1.0,20.0,20.0
120,20.0,20.0,1.0,20.0,20.0
120,20.0,20.0,1.0,20.0,20.0
130,20.0,20.0,1.0,20.0,20.0
140,20.0,20.0,1.0,20.0,20.0
140,20.0,20.0,1.0,20.0,20.0
140,20.0,20.0,1.0,20.0,20.0
150,20.0,20.0,1.0,20.0,20.0
150,20.0,20.0,1.0,20.0,20.0
