Time,0,1,2,3,4
0,0,0,0,0,0
1,9.117312250535454,9.117312250535454,9.24119531651104,10.651215487953563,9.24119531651104
2,18.59640075570588,18.48239063302208,18.48239063302208,21.302430975907125,18.48239063302208
3,26.044256009768354,27.723585949533124,27.723585949533124,31.953646463860686,27.723585949533124
4,36.19468165633491,36.19468165633491,36.19468165633491,41.71726066115145,36.19468165633491
5,44.99669241113602,45.435876972845946,45.435876972845946,53.25607743976781,45.435876972845946
6,51.76746991482918,54.677072289356985,54.677072289356985,63.01969163705857,54.677072289356985
7,59.892402919260974,64.68836721557727,64.68836721557727,74.55850841567494,64.68836721557727
8,68.69441367406208,75.32523150786864,73.92956253208831,84.3221226129657,73.92956253208831
9,79.52765767997113,85.96209580016,83.17075784859935,96.59896009245136,83.17075784859935
10,88.32966843477223,94.3196320298175,93.18205277481964,108.13777687106773,93.18205277481964
11,95.7775236888347,103.22537894289718,101.65314848162143,119.6765936496841,101.65314848162143
12,105.93368994437445,107.75823896064371,117.11592987165696,132.10301171896324,112.43454301755098
13,112.7044674480676,115.35599916942326,131.61228742481526,143.6418284975796,119.47524495176076
14,122.18355595323803,125.23308744083667,144.17579730421915,152.5178414042076,128.7164402682718
15,130.98556670803913,135.11017571225008,155.7728833467458,161.39385431083556,138.7277351944921
16,140.46465521320954,146.5068160254194,166.40354555239523,171.15746850812633,147.96893051100315
17,148.58958821764134,154.86435225507688,179.9334792686763,182.6962852867427,156.71452122207313
18,156.71452122207313,163.98166450561234,194.23510206535906,194.23510206535906,164.83945422650493
19,164.83945422650493,172.96438723093672,206.6615201346382,206.6615201346382,172.96438723093672
20,172.96438723093672,181.08932023536852,218.20033691325457,218.20033691325457,181.08932023536852
21,182.44347573610713,190.20663248590398,232.69669446641288,227.07634981988255,190.33051555187956
22,193.27671974201618,199.32394473643944,245.26020434581676,238.61516659849892,201.1119100878091
23,202.0787304968173,208.4412569869749,256.8572903883434,250.15398337711528,210.8807412516184
24,210.8807412516184,216.03901719575444,269.42080026774727,261.6928001557316,219.35183695842017
25,221.71398525752744,226.6758814880458,282.9507339840284,267.6519713219946,228.5930322749312
26,231.87015151306719,235.0334177177033,295.5142438634322,279.190788100611,238.6043272011515
27,239.99508451749898,243.3909539473608,305.3070576307816,288.06680100723895,247.84552251766254
28,250.82832852340803,253.2680422187742,318.83699134706274,300.49321907651813,258.6269170535921
29,258.2761837774705,261.6255784484317,332.36692506334384,310.2568332738089,267.0980127603939
30,268.43235003301027,269.98311467808924,343.9640111058705,319.1328461804369,277.10930768661416
31,275.8802052870727,280.6199789703806,355.56109714839715,328.0088590870649,287.8907022225437
32,286.7134492929818,290.497067241794,366.1917593540466,339.54767586568124,298.6720967584733
33,293.484226796675,298.0948274505736,378.75526923345046,351.0864926442976,307.9132920749843
