Time,0,1,2,3,4,5,6,7
0,20.0,1.6666666666666667,20.0,20.0,20.0,20.0,2.857142857142857,20.0
0,20.0,1.5384615384615385,20.0,20.0,20.0,10.0,5.0,20.0
18,20.0,1.0,20.0,20.0,20.0,20.0,20.0,20.0
40,20.0,1.0,20.0,20.0,20.0,20.0,20.0,20.0
45,20.0,1.0,20.0,20.0,20.0,20.0,20.0,20.0
57,20.0,1.0,20.0,20.0,20.0,20.0,20.0,20.0
69,20.0,1.0,20.0,20.0,20.0,20.0,20.0,20.0
86,20.0,1.0,20.0,20.0,20.0,20.0,20.0,20.0
100,20.0,1.0,20.0,20.0,20.0,20.0,20.0,20.0
120,20.0,1.0,20.0,20.0,20.0,20.0,20.0,20.0
138,20.0,1.0,20.0,20.0,20.0,20.0,20.0,20.0
144,20.0,1.0,20.0,20.0,20.0,20.0,20.0,20.0
152,20.0,1.0526315789473684,20.0,20.0,20.0,20.0,20.0,20.0
168,20.0,1.0,20.0,20.0,20.0,20.0,20.0,20.0
178,20.0,1.0,20.0,20.0,20.0,20.0,20.0,20.0
185,20.0,1.0,20.0,20.0,20.0,20.0,20.0,20.0
200,20.0,1.0,20.0,20.0,20.0,20.0,20.0,20.0
208,20.0,1.0,20.0,20.0,20.0,20.0,20.0,20.0
210,20.0,1.0,20.0,20.0,20.0,20.0,20.0,20.0
224,20.0,1.0,20.0,20.0,20.0,20.0,20.0,20.0
229,20.0,1.0,20.0,20.0,20.0,20.0,20.0,20.0
236,20.0,1.0,20.0,20.0,20.0,20.0,20.0,20.0
