Time,0,1,2,3,4,5,6,7
0,0,0,0,0,0,0,0,0
1,5.215111111111113,5.215111111111113,5.215111111111113,5.215111111111113,5.215111111111113,9.054814814814815,5.215111111111113,7.090296296296296
2,11.734000000000002,11.734000000000002,11.734000000000002,11.734000000000002,11.734000000000002,18.89577777777778,11.734000000000002,14.180592592592593
3,18.64955555555556,18.25288888888889,18.25288888888889,18.25288888888889,18.25288888888889,28.516518518518524,18.25288888888889,21.816296296296297
4,26.026148148148152,24.337185185185188,24.337185185185188,24.337185185185188,24.337185185185188,38.70318518518519,24.337185185185188,29.997407407407408
5,32.94170370370371,29.986888888888892,29.986888888888892,29.986888888888892,29.986888888888892,47.19207407407408,29.986888888888892,38.178518518518516
6,39.39622222222223,36.50577777777778,36.50577777777778,36.50577777777778,36.50577777777778,56.81281481481482,36.50577777777778,47.995851851851846
7,46.311777777777785,43.66755555555556,42.59007407407408,42.59007407407408,42.59007407407408,67.5654074074074,42.59007407407408,57.813185185185176
8,53.68837037037038,50.317777777777785,48.23977777777779,48.23977777777779,48.23977777777779,78.318,48.23977777777779,64.90348148148148
9,60.603925925925935,58.50266666666668,55.627851851851865,55.627851851851865,55.627851851851865,88.50466666666667,55.627851851851865,74.72081481481482
10,67.98051851851852,66.17600000000002,62.14674074074075,62.14674074074075,62.14674074074075,97.55948148148148,62.14674074074075,82.90192592592592
11,74.43503703703703,73.33777777777779,69.10022222222224,69.10022222222224,72.56232592592593,107.18022222222223,69.10022222222224,89.99222222222222
12,80.88955555555555,81.52266666666668,75.61911111111114,75.61911111111114,83.72188148148149,114.53725925925926,75.61911111111114,98.71874074074074
13,87.34407407407406,88.68444444444445,82.13800000000003,82.13800000000003,93.3934962962963,123.59207407407408,82.13800000000003,108.53607407407408
14,94.72066666666665,96.35777777777778,88.22229629629634,88.22229629629634,102.09725925925923,130.9491111111111,88.22229629629634,115.62637037037038
15,101.6362222222222,105.05422222222222,94.30659259259264,100.72896296296301,111.76887407407405,141.70170370370369,94.30659259259264,125.98911111111113
16,108.09074074074073,114.26222222222222,101.26007407407411,109.65651851851855,122.9284296296296,151.88837037037035,101.26007407407411,135.80644444444445
17,115.00629629629628,121.42399999999999,108.21355555555559,121.38151851851856,134.83195555555554,162.07503703703702,108.21355555555559,143.98755555555556
18,121.92185185185184,128.8374074074074,116.61000000000003,133.10651851851856,145.9915111111111,170.5639259259259,115.60162962962966,153.80488888888888
19,128.37637037037035,138.0454074074074,127.10555555555558,144.04985185185188,155.6631259259259,177.92096296296293,122.55511111111113,160.89518518518517
20,135.75296296296295,146.74185185185183,138.30081481481483,154.9931851851852,167.56665185185182,185.8439259259259,129.5085925925926,170.1671111111111
21,142.20748148148147,155.94985185185183,148.66199999999998,165.93651851851854,177.23826666666662,194.89874074074072,135.5928888888889,179.98444444444442
22,149.12303703703702,162.60007407407406,156.03859259259258,178.4431851851852,187.62014814814813,202.25577777777775,142.98096296296296,187.62014814814813
23,156.03859259259258,171.2965185185185,162.95414814814814,189.38651851851853,196.34666666666664,210.74466666666663,150.36903703703703,196.34666666666664
24,162.4931111111111,179.48140740740737,171.3505925925926,201.11151851851852,202.89155555555553,219.2335555555555,156.8879259259259,202.89155555555553
25,169.40866666666665,187.66629629629625,182.54585185185186,212.56317037037033,212.56317037037033,228.28837037037033,162.9722222222222,212.70888888888885
26,176.78525925925925,194.82807407407404,191.64200000000002,221.98081481481478,221.98081481481478,235.64540740740736,170.36029629629627,221.98081481481478
27,183.7008148148148,204.03607407407404,200.03844444444448,230.70733333333328,230.70733333333328,245.83207407407403,177.74837037037034,230.70733333333328
28,190.15533333333332,211.19785185185182,209.83429629629634,238.343037037037,242.6108592592592,253.755037037037,184.7018518518518,238.343037037037
29,197.53192592592592,217.84807407407405,220.3298518518519,247.0695555555555,252.282474074074,261.11207407407403,191.2207407407407,247.0695555555555
30,204.90851851851852,225.00985185185183,228.72629629629637,256.88688888888885,263.44202962962953,271.8646666666666,198.17422222222217,256.88688888888885
31,212.28511111111112,233.70629629629627,237.82244444444453,266.7042222222222,274.60158518518506,281.48540740740737,203.82392592592586,266.7042222222222
32,219.66170370370372,242.91429629629627,246.9185925925927,274.88533333333334,285.7611407407406,289.97429629629625,209.90822222222215,274.88533333333334
33,227.03829629629632,249.5645185185185,256.2147407407407,282.52103703703705,296.9206962962961,299.02911111111104,217.29629629629622,282.52103703703705
34,233.49281481481484,256.2147407407407,262.8649629629629,291.24755555555555,307.3362814814813,309.2157777777777,222.9459999999999,291.24755555555555
35,240.4083703703704,263.3765185185185,271.2614074074074,301.0648888888889,317.7518666666665,318.83651851851846,230.33407407407398,301.0648888888889
36,247.32392592592595,271.0498518518518,280.3575555555555,309.7914074074074,328.91142222222203,329.58911111111104,237.72214814814805,309.7914074074074
37,253.77844444444446,278.2116296296296,291.5528148148148,322.29807407407407,338.0779999999999,338.0779999999999,244.67562962962953,319.06333333333333
38,260.694,286.3965185185185,301.34866666666665,333.2414074074074,348.4935851851851,347.1328148148147,250.7599259259258,325.6082222222222
39,267.6095555555556,293.04674074074074,310.4448148148148,344.1847407407407,358.1651999999999,357.8854074074073,257.2788148148147,335.9709629629629
40,274.52511111111113,302.2547407407408,320.9403703703703,355.90974074074074,367.8368148148147,368.07207407407395,262.92851851851844,344.6974814814814
41,281.90170370370373,308.904962962963,330.7362222222222,366.8530740740741,377.6928148148147,377.6928148148147,268.57822222222217,351.2423703703703
42,288.35622222222224,318.112962962963,339.8323703703703,378.5780740740741,386.1817037037036,386.1817037037036,274.2279259259259,358.878074074074
43,295.73281481481484,324.76318518518525,348.92851851851844,391.08474074074076,395.80244444444435,395.80244444444435,280.7468148148148,369.2408148148147
44,302.6483703703704,333.4596296296297,359.424074074074,402.8097407407408,406.21802962962954,406.5550370370369,287.7002962962963,379.60355555555543
45,309.1028888888889,341.13296296296306,368.5202222222221,414.5347407407408,415.0439259259258,415.0439259259258,294.2191851851852,389.96629629629615
46,316.4794814814815,348.29474074074085,379.01577777777766,422.9668888888888,424.7155407407406,422.9668888888888,301.1726666666667,399.7836296296295
47,323.8560740740741,356.47962962962976,387.4122222222221,430.32392592592583,434.3871555555554,430.32392592592583,307.25696296296303,409.05555555555543
48,330.3105925925926,363.129851851852,396.50837037037024,441.0765185185184,446.29068148148133,441.0765185185184,313.34125925925935,416.69125925925914
49,336.76511111111114,371.82629629629645,404.9048148148147,450.69725925925917,457.45023703703686,450.69725925925917,319.86014814814826,426.5085925925925
50,343.21962962962965,380.01118518518535,414.00096296296283,461.6405925925925,469.3537629629628,458.62022222222214,327.24822222222235,433.05348148148136
51,350.59622222222225,388.7076296296298,423.7968148148147,474.14725925925916,481.2572888888887,468.2409629629629,332.4633333333335,443.4162222222221
52,357.97281481481485,397.91562962962985,434.29237037037024,485.8722592592592,493.1608148148146,475.59799999999996,338.1130370370372,451.5973333333332
53,364.8883703703704,406.10051851851875,445.4876296296295,498.37892592592584,502.8324296296294,482.955037037037,343.7627407407409,461.41466666666656
54,372.264962962963,413.26229629629654,455.98318518518505,510.8855925925925,513.2480148148146,490.878,351.150814814815,469.5957777777777
55,378.7194814814815,420.4240740740743,466.4787407407406,522.6105925925925,523.6635999999997,499.9328148148148,356.80051851851874,478.8677037037036
56,386.0960740740741,429.63207407407435,476.27459259259246,533.3352148148145,533.3352148148145,507.85577777777775,364.18859259259284,488.13962962962955
57,393.4726666666667,437.81696296296326,486.0704444444443,544.2785481481479,545.2387407407405,518.6083703703704,369.83829629629656,495.77533333333326
58,399.92718518518524,446.5134074074077,495.8662962962962,556.003548148148,554.9103555555553,528.2291111111111,375.9225925925929,505.66214814814805
59,407.30377777777784,453.6751851851855,504.26274074074064,566.9468814814813,563.4128740740738,537.8498518518519,383.310666666667,512.2070370370369
60,413.75829629629635,460.8369629629633,513.3588888888888,577.8902148148147,570.32117037037,545.7728148148149,388.9603703703707,520.9335555555555
61,420.6738518518519,467.4871851851855,523.8544444444444,589.6152148148147,578.2922814814812,554.2617037037038,394.1754814814818,529.1146666666666
62,428.0504444444445,475.16051851851887,532.2508888888889,600.5585481481481,585.7319851851848,564.4483703703704,400.69437037037073,537.8411851851852
63,434.96600000000007,484.3685185185189,540.6473333333333,613.0652148148148,592.6402814814811,575.200962962963,406.77866666666705,544.9314814814815
64,442.34259259259267,493.06496296296336,551.1428888888889,625.5718814814815,600.0799851851848,584.8217037037037,413.29755555555596,554.7488148148148
65,448.7971111111112,500.7382962962967,560.2390370370371,636.5152148148148,606.9882814814811,595.5742962962963,419.81644444444487,567.729511111111
66,456.1737037037038,507.9000740740745,571.4342962962963,647.4585481481482,614.9593925925922,606.3268888888889,426.3353333333338,582.237348148148
67,462.6282222222223,515.5734074074078,580.5304444444445,658.4018814814816,623.4619111111107,615.9476296296297,433.7234074074079,593.6909037037036
68,469.54377777777785,524.7814074074078,591.0260000000001,669.345214814815,630.9016148148144,625.0024444444444,440.2422962962968,605.9080296296295
69,476.92037037037045,533.4778518518522,600.1221481481482,681.070214814815,638.8727259259255,635.1891111111111,447.6303703703709,620.4158666666665
70,484.29696296296305,540.6396296296299,611.3174074074075,692.0135481481484,646.8438370370366,644.2439259259259,454.1492592592598,634.9237037037035
71,491.2125185185186,548.3129629629632,621.8129629629631,704.5202148148151,653.7521333333328,654.9965185185184,461.1027407407413,645.6136888888886
72,497.6670370370371,556.497851851852,632.3085185185187,717.0268814814817,661.1918370370365,664.0513333333332,468.0562222222228,660.1215259259257
73,504.5825925925927,563.6596296296298,640.7049629629631,729.5335481481484,669.1629481481476,674.8039259259258,474.5751111111117,670.0479407407405
74,511.9591851851853,572.3560740740742,650.5008148148149,740.4768814814818,677.1340592592587,682.1609629629628,481.5285925925932,679.2107851851849
75,518.4137037037038,580.540962962963,660.9963703703705,752.9835481481484,685.6365777777772,690.0839259259258,488.0474814814821,691.4279111111108
76,524.8682222222224,587.7027407407408,669.392814814815,764.7085481481485,692.5448740740735,699.1387407407406,494.56637037037103,699.4531703703698
77,532.244814814815,594.8645185185185,679.8883703703706,776.4335481481485,700.5159851851846,708.4870962962957,501.95444444444513,708.4870962962957
78,539.1603703703705,602.0262962962962,688.284814814815,788.1585481481485,707.4242814814809,716.9759851851846,509.3425185185192,719.1770814814809
79,545.614888888889,609.1880740740739,698.0806666666668,799.8835481481485,715.9267999999994,727.1626518518513,515.8614074074081,730.6306370370364
80,552.0694074074075,618.3960740740739,709.2759259259261,810.8268814814819,722.8350962962957,737.349318518518,521.5111111111119,745.1384740740734
81,559.4460000000001,626.5809629629628,717.6723703703706,822.5518814814819,730.2747999999993,744.706355555555,527.5954074074082,757.3555999999993
82,566.8225925925927,633.2311851851849,728.8676296296298,835.0585481481486,738.2459111111104,755.4589481481476,533.6797037037045,767.2820148148141
83,573.2771111111113,640.9045185185182,740.0628888888891,846.001881481482,746.748429629629,763.3819111111105,540.633185185186,778.7355703703697
84,580.1926666666668,649.6009629629626,748.4593333333336,857.726881481482,754.7195407407401,770.7389481481475,548.0212592592601,791.716266666666
85,587.1082222222224,657.7858518518515,758.2551851851854,870.2335481481487,763.2220592592586,779.2278370370365,553.6709629629638,801.6426814814808
86,594.484814814815,666.4822962962959,768.750740740741,881.9585481481487,770.6617629629623,787.1507999999994,560.6244444444453,810.8055259259253
87,601.4003703703705,675.6902962962959,778.1014666666659,892.9018814814821,778.1014666666659,796.2056148148142,566.7087407407416,823.0226518518512
88,607.854888888889,684.8982962962958,785.5411703703696,903.8452148148154,785.5411703703696,806.392281481481,572.793037037038,835.239777777777
89,615.2314814814816,692.5716296296291,792.4494666666659,914.7885481481488,792.4494666666659,813.749318518518,578.8773333333343,844.4026222222215
90,622.1470370370372,699.7334074074068,800.8459111111104,926.6078510972105,800.9519851851844,824.5019111111105,584.527037037038,858.9104592592585
91,628.6015555555557,708.9414074074068,809.4545037037029,937.7272166021256,809.4545037037029,832.4248740740735,591.4805185185195,873.4182962962955
92,635.9781481481483,717.1262962962957,819.9500592592585,949.7351254493107,817.425614814814,839.7819111111105,597.9994074074084,882.5811407407399
93,642.8937037037039,725.8227407407401,829.7459111111103,961.8373372455574,824.8653185185177,849.4026518518513,603.6491111111121,894.0346962962955
94,649.8092592592594,734.0076296296289,840.9411703703696,974.8469529738862,832.3050222222214,858.457466666666,609.2988148148158,906.2518222222213
95,657.185851851852,743.2156296296289,851.4367259259252,987.9571585145476,839.2133185185177,865.814503703703,616.2522962962973,920.7596592592583
96,663.6403703703705,750.3774074074066,862.6319851851845,1000.3422791579792,846.6530222222214,873.17154074074,623.6403703703714,930.7220046296287
97,670.5559259259261,759.073851851851,873.8272444444437,1012.8217027504725,853.5613185185176,882.7922814814808,629.2900740740752,941.4893787037028
98,677.4714814814816,765.7240740740732,885.022503703703,1026.2336777281312,862.0638370370361,893.5448740740734,634.9397777777789,951.5235851851843
99,684.3870370370372,774.9320740740732,894.1186518518512,1038.9017072187478,868.9721333333324,900.9019111111104,640.5894814814826,964.6922259259251
100,690.8415555555557,783.116962962962,904.6142074074068,1050.813217495781,877.4746518518509,911.0885777777771,647.1083703703715,975.5756833333324
101,697.2960740740742,790.2787407407397,915.809466666666,1062.8127438586048,884.3829481481472,919.6624688918552,653.1926666666678,986.4978351851843
102,704.6726666666668,799.4867407407397,925.703934476758,1076.6270780855932,892.3540592592583,928.8986217870735,658.8423703703716,999.8074342592583
103,712.0492592592594,806.1369629629619,936.4108099428281,1090.542002124914,899.2623555555546,937.059590980566,666.2304444444457,1014.7353824074065
104,718.964814814815,813.2987407407396,945.7816739746452,1102.8055767451106,906.1706518518508,946.4770819561878,672.7493333333346,1024.196726851851
105,725.4193333333335,821.995185185184,955.3909819710224,1116.0394239300972,913.0789481481471,955.3909819710224,677.9644444444457,1038.4384935185178
106,731.873851851852,829.1569629629618,964.2100662364959,1130.2561174064153,920.5933476721691,963.190030579043,684.9179259259272,1049.5541175925919
107,739.2504444444446,838.3649629629617,973.1136784661752,1144.5734006950659,928.7245212553909,972.8795286752701,691.8714074074087,1059.1149620370363
108,745.7049629629631,845.5267407407395,985.0978653913554,1157.189039658426,936.935726074668,983.8822167037525,698.3902962962976,1074.305479629629
109,752.1594814814816,853.2000740740727,997.19475626881,1169.892694707577,944.6742130596449,991.9022710972648,704.0400000000013,1084.7349222222215
110,759.0750370370372,860.3618518518505,1008.641251421681,1184.5117474332249,951.9293113788476,999.9959940859411,709.2551111111125,1097.6153814814807
111,766.4516296296298,868.0351851851838,1018.6531191820588,1198.3114123125815,960.9440298081203,1009.4199074519105,716.6431851851866,1112.1556481481473
112,772.9061481481483,876.7316296296282,1028.7565589036597,1212.2053801409998,970.0441148891853,1020.8306061613008,723.1620740740755,1120.8520271164014
113,780.2827407407409,884.4049629629615,1041.304265590212,1226.1936509184795,979.2295666220426,1029.7849294565588,728.3771851851866,1129.5898644179886
114,787.6593333333335,892.5898518518503,1053.9646762290388,1239.337386396585,986.7621065595705,1040.7543721703005,734.0268888888903,1140.1250191798933
115,795.0359259259261,900.7747407407392,1064.3428318343085,1253.5142630721882,994.3640069016797,1052.4710788903717,740.9803703703718,1148.357722883597
116,802.4125185185187,908.4480740740725,1074.812559400801,1266.8340307218755,1003.8055585899141,1062.3200033822868,746.6300740740755,1156.6291210317452
117,809.7891111111113,916.6329629629613,1087.811081896451,1281.199513295602,1011.5461797411858,1071.5916683182509,752.2797777777793,1164.3456355820097
118,816.7046666666669,923.3502237156495,1099.283405038385,1296.6232845199095,1020.5576969210163,1084.282311645156,757.4948888888904,1175.6761322751313
119,823.6202222222224,930.1345229988036,1110.8543441385589,1311.1773729917593,1029.0431421091764,1095.7334336349695,763.1445925925941,1185.2618253968244
120,830.535777777778,936.9858608124237,1127.1522748370426,1325.8257644126709,1038.2147217611175,1107.9601537061756,770.5326666666682,1196.095480158729
121,837.9123703703706,946.5651511350043,1145.8911853018699,1340.568458782644,1046.8495585899143,1122.309662681105,777.4861481481497,1205.7696177248665
122,844.3668888888891,954.087905615291,1163.5645738179028,1355.405456101679,1056.8033101889027,1138.6687753745728,784.0050370370386,1216.0953749999987
123,850.8214074074076,962.2253518518502,1180.1583523911067,1369.3413363519023,1066.2149835490097,1154.1562563615678,790.5239259259275,1225.8579570105808
124,857.2759259259261,971.5354566905598,1196.850746922551,1385.3686464502043,1074.4411275323505,1171.681675142164,797.0428148148164,1236.2776865079352
