Time,0,1,2,3,4
0,9.090909090909092,1.8867924528301885,16.666666666666668,4.0,20.0
0,5.555555555555555,2.0,11.11111111111111,5.2631578947368425,20.0
3,10.0,1.7543859649122808,9.090909090909092,6.666666666666667,14.285714285714285
6,14.285714285714285,1.639344262295082,6.666666666666667,8.333333333333334,20.0
9,12.5,1.7543859649122808,6.666666666666667,6.666666666666667,20.0
10,20.0,1.5151515151515151,7.142857142857142,8.333333333333334,20.0
12,10.0,1.8518518518518516,5.2631578947368425,9.090909090909092,16.666666666666668
14,20.0,1.5625,7.142857142857142,9.090909090909092,12.5
18,14.285714285714285,1.7857142857142856,6.666666666666667,10.0,8.333333333333334
20,12.5,1.6949152542372883,4.545454545454546,12.5,20.0
23,20.0,1.6666666666666667,5.88235294117647,14.285714285714285,8.333333333333334
24,14.285714285714285,2.0833333333333335,4.3478260869565215,11.11111111111111,7.692307692307692
26,12.5,1.7241379310344829,5.0,12.5,16.666666666666668
27,20.0,1.8867924528301885,6.25,11.11111111111111,5.555555555555555
29,11.11111111111111,1.639344262295082,6.666666666666667,12.5,14.285714285714285
31,20.0,1.8867924528301885,3.846153846153846,12.5,10.0
33,20.0,1.7241379310344829,5.555555555555555,12.5,8.333333333333334
34,20.0,1.7543859649122808,6.25,14.285714285714285,6.666666666666667
35,9.090909090909092,2.0408163265306123,4.166666666666667,20.0,8.333333333333334
38,20.0,1.923076923076923,3.846153846153846,16.666666666666668,7.692307692307692
40,20.0,1.5873015873015872,7.142857142857142,20.0,6.666666666666667
42,16.666666666666668,1.8518518518518516,4.3478260869565215,20.0,7.692307692307692
43,20.0,1.9607843137254901,3.7037037037037033,20.0,7.692307692307692
45,20.0,1.8181818181818181,3.3333333333333335,20.0,10.0
48,20.0,2.0408163265306123,3.4482758620689657,20.0,7.692307692307692
49,20.0,2.564102564102564,2.0408163265306123,20.0,14.285714285714285
51,20.0,3.7037037037037033,1.7857142857142856,20.0,6.666666666666667
52,20.0,3.4482758620689657,1.6949152542372883,20.0,10.0
53,20.0,2.941176470588235,1.8867924528301885,20.0,8.333333333333334
54,20.0,3.7037037037037033,1.6129032258064517,20.0,12.5
55,20.0,2.0408163265306123,2.3255813953488373,20.0,12.5
57,20.0,2.2222222222222223,2.564102564102564,20.0,6.666666666666667
59,20.0,2.0408163265306123,2.5,20.0,10.0
60,20.0,2.272727272727273,2.5,20.0,8.333333333333334
60,20.0,2.4390243902439024,2.0,20.0,11.11111111111111
61,20.0,3.0303030303030303,2.127659574468085,20.0,5.2631578947368425
63,20.0,3.0303030303030303,2.127659574468085,20.0,5.555555555555555
63,20.0,2.7777777777777777,1.7543859649122808,20.0,16.666666666666668
65,20.0,2.857142857142857,1.9607843137254901,20.0,7.142857142857142
66,20.0,3.0303030303030303,1.7543859649122808,20.0,10.0
66,20.0,2.6315789473684212,2.2222222222222223,20.0,6.25
67,20.0,3.4482758620689657,1.5625,20.0,14.285714285714285
69,20.0,9.090909090909092,1.1764705882352942,20.0,20.0
69,20.0,7.692307692307692,1.2195121951219512,20.0,20.0
70,20.0,6.25,1.2345679012345678,20.0,20.0
72,20.0,16.666666666666668,1.1235955056179776,20.0,20.0
73,20.0,14.285714285714285,1.0989010989010988,20.0,20.0
74,20.0,6.25,1.2345679012345678,20.0,20.0
75,20.0,7.142857142857142,1.2345679012345678,20.0,20.0
76,20.0,12.5,1.0989010989010988,20.0,20.0
77,20.0,20.0,1.0638297872340425,20.0,20.0
77,20.0,20.0,1.0416666666666667,20.0,20.0
79,20.0,20.0,1.0416666666666667,20.0,20.0
79,20.0,20.0,1.0638297872340425,20.0,20.0
80,20.0,14.285714285714285,1.0869565217391304,20.0,20.0
81,20.0,20.0,1.0101010101010102,20.0,20.0
81,20.0,20.0,1.0204081632653061,20.0,20.0
82,20.0,20.0,1.0416666666666667,20.0,20.0
82,20.0,20.0,1.0204081632653061,20.0,20.0
82,20.0,20.0,1.0416666666666667,20.0,20.0
83,20.0,20.0,1.0101010101010102,20.0,20.0
83,20.0,20.0,1.0101010101010102,20.0,20.0
84,20.0,20.0,1.0,20.0,20.0
85,20.0,20.0,1.0,20.0,20.0
85,20.0,20.0,1.0,20.0,20.0
86,20.0,20.0,1.0,20.0,20.0
87,20.0,20.0,1.0,20.0,20.0
87,20.0,20.0,1.0,20.0,20.0
88,20.0,20.0,1.0,20.0,20.0
88,20.0,20.0,1.0101010101010102,20.0,20.0
89,20.0,20.0,1.0,20.0,20.0
89,20.0,20.0,1.0101010101010102,20.0,20.0
90,20.0,20.0,1.0,20.0,20.0
91,20.0,20.0,1.0,20.0,20.0
91,20.0,20.0,1.0,20.0,20.0
92,20.0,20.0,1.0,20.0,20.0
92,20.0,20.0,1.0,20.0,20.0
92,20.0,20.0,1.0,20.0,20.0
93,20.0,20.0,1.0,20.0,20.0
93,20.0,20.0,1.0101010101010102,20.0,20.0
94,20.0,20.0,1.0,20.0,20.0
95,20.0,20.0,1.0,20.0,20.0
95,20.0,20.0,1.0,20.0,20.0
95,20.0,20.0,1.0,20.0,20.0
96,20.0,20.0,1.0,20.0,20.0
96,20.0,20.0,1.0,20.0,20.0
96,20.0,20.0,1.0,20.0,20.0
