Time,0,1,2,3,4,5,6,7
0,20.0,1.1111111111111112,20.0,10.0,20.0,20.0,20.0,20.0
0,20.0,1.4285714285714286,20.0,4.0,20.0,20.0,20.0,20.0
6,20.0,1.3333333333333333,20.0,4.0,20.0,20.0,20.0,20.0
19,20.0,1.0,20.0,20.0,20.0,20.0,20.0,20.0
31,20.0,1.5384615384615385,20.0,2.857142857142857,20.0,20.0,20.0,20.0
36,20.0,1.3333333333333333,20.0,4.0,20.0,20.0,20.0,20.0
43,20.0,6.666666666666667,20.0,1.1764705882352942,20.0,20.0,20.0,20.0
52,20.0,20.0,20.0,1.0,20.0,20.0,20.0,20.0
59,20.0,20.0,20.0,1.0,20.0,20.0,20.0,20.0
63,20.0,20.0,20.0,1.0526315789473684,20.0,20.0,20.0,20.0
72,20.0,20.0,20.0,1.0,20.0,20.0,20.0,20.0
77,20.0,20.0,20.0,1.0,20.0,20.0,20.0,20.0
