Time,0,1,2,3,4,5,6,7
0,20.0,1.1111111111111112,20.0,20.0,20.0,10.0,20.0,20.0
0,20.0,1.25,20.0,20.0,20.0,6.666666666666667,20.0,20.0
20,20.0,1.0526315789473684,20.0,20.0,20.0,20.0,20.0,20.0
39,20.0,1.0526315789473684,20.0,20.0,20.0,20.0,20.0,20.0
46,20.0,1.1111111111111112,20.0,20.0,20.0,10.0,20.0,20.0
57,20.0,1.0,20.0,20.0,20.0,20.0,20.0,20.0
71,20.0,1.1111111111111112,20.0,20.0,20.0,10.0,20.0,20.0
84,20.0,1.0,20.0,20.0,20.0,20.0,20.0,20.0
93,20.0,1.0,20.0,20.0,20.0,20.0,20.0,20.0
111,20.0,1.0,20.0,20.0,20.0,20.0,20.0,20.0
123,20.0,1.0,20.0,20.0,20.0,20.0,20.0,20.0
142,20.0,1.0,20.0,20.0,20.0,20.0,20.0,20.0
152,20.0,1.0,20.0,20.0,20.0,20.0,20.0,20.0
169,20.0,1.0526315789473684,20.0,20.0,20.0,20.0,20.0,20.0
178,20.0,1.0,20.0,20.0,20.0,20.0,20.0,20.0
188,20.0,1.0,20.0,20.0,20.0,20.0,20.0,20.0
208,20.0,1.0526315789473684,20.0,20.0,20.0,20.0,20.0,20.0
211,20.0,1.0,20.0,20.0,20.0,20.0,20.0,20.0
218,20.0,1.0,20.0,20.0,20.0,20.0,20.0,20.0
228,20.0,1.0,20.0,20.0,20.0,20.0,20.0,20.0
